Wall time,Step,Value
1749245937.8366983,8064,63.0
1749245941.79926,12032,94.0
1749245943.9124935,13184,103.0
1749245944.8401833,13696,107.0
1749245945.3087502,13952,52.0
1749245946.2458954,14464,113.0
1749245954.0304863,18688,48.0
1749245956.40056,19968,52.0
1749245962.2750444,23168,42.0
1749245965.5364351,24960,195.0
1749245975.6181402,30464,83.0
1749245977.2620401,31360,91.0
1749245983.5810428,34816,55.0
1749245988.2378714,37376,77.0
1749245997.632711,42496,92.0
1749246003.4828732,45696,54.0
1749246012.3492374,50560,80.0
1749246013.7274263,51328,82.0
1749246015.3645968,52224,96.0
1749246019.7831392,54656,100.0
1749246020.4935172,55040,80.0
1749246023.0743132,56448,107.0
1749246025.4200673,57728,122.0
1749246028.4576128,59392,89.0
1749246031.0416005,60800,136.0
1749246040.8354058,66176,150.0
1749246043.6531036,67712,89.0
1749246048.7935407,70528,80.0
1749246055.8146877,74368,123.0
1749246061.5984194,77568,93.0
1749246066.493926,80256,193.0
1749246066.9587135,80512,100.0
1749246071.164807,82816,75.0
1749246076.274556,85632,151.0
1749246080.926613,88192,101.0
1749246097.4303641,97280,110.0
1749246099.044343,98176,71.0
1749246099.9678638,98688,100.0
1749246111.8671618,105216,118.0
1749246119.5171673,109440,108.0
1749246126.0545824,113024,156.0
1749246129.3030536,114816,139.0
1749246133.7120545,117248,94.0
1749246135.5715132,118272,118.0
1749246140.434408,120960,125.0
1749246149.7298841,126080,108.0
1749246152.5364683,127616,139.0
1749246156.952166,130048,162.0
1749246171.8495207,138240,108.0
1749246173.9411392,139392,104.0
1749246175.3270226,140160,181.0
1749246176.9523592,141056,137.0
1749246181.1512845,143360,134.0
1749246186.0040727,146048,156.0
1749246192.549678,149632,76.0
1749246197.6772048,152448,91.0
1749246210.5084646,159488,116.0
1749246211.2185864,159872,80.0
1749246213.0736105,160896,108.0
1749246220.9981465,165248,137.0
1749246221.234012,165376,96.0
1749246227.0852945,168576,97.0
1749246236.1918306,173568,157.0
1749246255.5503595,184192,101.0
1749246255.7877033,184320,131.0
1749246257.1891716,185088,85.0
1749246263.245724,188416,97.0
1749246265.334249,189568,97.0
1749246297.3180647,207104,125.0
1749246306.6131806,212224,139.0
1749246311.2455556,214784,145.0
1749246311.9386528,215168,98.0
1749246327.075852,223488,146.0
1749246333.8534462,227200,152.0
1749246341.5251997,231424,120.0
1749246348.292273,235136,146.0
1749246351.0960042,236672,137.0
1749246373.9047062,249216,171.0
1749246390.165571,258176,122.0
1749246390.6399777,258432,145.0
1749246415.5023124,272128,167.0
1749246415.739239,272256,104.0
1749246415.966663,272384,200.0
1749246418.0476148,273536,118.0
1749246419.2057662,274176,107.0
1749246420.59004,274944,141.0
1749246434.9323168,282880,118.0
1749246441.4091463,286464,177.0
1749246449.6010566,290944,167.0
1749246452.3918457,292480,152.0
1749246457.5239458,295296,139.0
1749246465.246095,299520,159.0
1749246465.9475496,299904,262.0
1749246468.532442,301312,158.0
1749246473.2137017,303872,145.0
1749246475.7947583,305280,204.0
1749246483.1990476,309376,201.0
1749246502.070498,319744,162.0
1749246532.3002143,336384,201.0
1749246534.8573332,337792,155.0
1749246545.3392556,343552,136.0
1749246570.2280548,357248,271.0
1749246577.4314783,361216,128.0
1749246578.5940742,361856,147.0
1749246596.4645896,371712,179.0
1749246598.566883,372864,138.0
1749246604.866626,376320,190.0
1749246608.1402726,378112,230.0
1749246625.8427656,387840,321.0
1749246626.06991,387968,142.0
1749246636.5141537,393728,174.0
1749246651.352088,401920,182.0
1749246656.9357522,404992,224.0
1749246661.125298,407296,205.0
1749246670.4050374,412416,233.0
1749246679.218037,417280,314.0
1749246693.8673525,425344,269.0
1749246697.8177676,427520,163.0
1749246703.65082,430720,194.0
1749246710.352312,434432,163.0
1749246716.4011827,437760,208.0
1749246723.385576,441600,205.0
1749246734.2610269,447616,237.0
1749246739.353941,450432,155.0
1749246752.5970824,457728,244.0
1749246754.6847854,458880,342.0
1749246756.5366228,459904,234.0
1749246805.3884704,486784,125.0
1749246810.7256,489728,277.0
1749246814.1992714,491648,304.0
1749246822.9378788,496512,239.0
1749246842.761575,507520,180.0
1749246854.5042217,514048,249.0
1749246876.9218931,526464,241.0
1749246879.678568,528000,234.0
1749246885.4387503,531200,253.0
1749246887.2824087,532224,249.0
1749246899.0666637,538752,309.0
1749246905.5254946,542336,283.0
1749246914.0843148,547072,306.0
1749246915.4692712,547840,283.0
1749246927.039621,554240,209.0
1749246943.2428539,563200,276.0
1749246983.829063,585856,632.0
1749246995.958418,592640,255.0
1749246998.7172632,594176,226.0
1749247007.3830638,599040,326.0
1749247021.5842876,606976,271.0
1749247022.500956,607488,392.0
1749247023.6475546,608128,258.0
1749247025.4890296,609152,370.0
1749247031.931947,612736,448.0
1749247045.8556507,620544,268.0
1749247048.5725732,622080,272.0
1749247060.010592,628480,286.0
1749247060.4678428,628736,237.0
1749247069.200049,633600,237.0
1749247090.2336984,645376,442.0
1749247128.4763246,666880,260.0
1749247146.1893582,676864,392.0
1749247148.9084516,678400,294.0
1749247185.721744,699136,460.0
1749247190.5079195,701824,264.0
1749247191.1928403,702208,216.0
1749247241.1892414,730368,370.0
1749247253.2271025,737152,346.0
1749247259.5881085,740736,304.0
1749247271.1733885,747264,267.0
1749247278.657184,751488,222.0
1749247279.7998984,752128,355.0
1749247293.8202677,760064,444.0
1749247303.3120902,765440,387.0
1749247308.330627,768256,364.0
1749247312.3998764,770560,454.0
1749247334.9060984,783232,333.0
1749247344.6508985,788736,372.0
1749247347.8121622,790528,446.0
1749247351.9010274,792832,348.0
1749247368.0304267,801920,160.0
1749247410.0667303,825600,306.0
1749247419.6147642,830976,350.0
1749247433.4662106,838784,315.0
1749247436.6559951,840576,373.0
1749247444.8489397,845184,393.0
