Wall time,Step,Value
1749590385.7168226,11136,87.0
1749590395.8903697,17280,63.0
1749590404.1400106,22272,55.0
1749590409.4806623,25472,62.0
1749590435.2238216,41088,84.0
1749590437.1098764,42240,104.0
1749590440.0522563,44032,83.0
1749590440.891505,44544,87.0
1749590448.8895934,49408,125.0
1749590478.340849,67328,119.0
1749590488.6034958,73600,80.0
1749590489.0228045,73856,64.0
1749590501.8440914,81664,88.0
1749590518.7493973,92032,99.0
1749590524.8262663,95744,142.0
1749590528.4075963,97920,148.0
1749590530.2955794,99072,104.0
1749590534.291538,101504,160.0
1749590548.5863638,110208,144.0
1749590554.276165,113664,170.0
1749590558.25665,116096,196.0
1749590574.3048017,125824,88.0
1749590575.762577,126720,101.0
1749590576.189349,126976,106.0
1749590583.5149724,131456,112.0
1749590586.0209365,132992,106.0
1749590587.8939025,134144,85.0
1749590598.2130518,140416,116.0
1749590600.5179846,141824,126.0
1749590607.8568084,146304,106.0
1749590615.4102633,150912,197.0
1749590624.2163305,156288,75.0
1749590626.5324109,157696,129.0
1749590626.9520266,157952,81.0
1749590631.5918958,160768,82.0
1749590635.38343,163072,160.0
1749590639.1573591,165376,156.0
1749590639.5772283,165632,92.0
1749590643.138912,167808,98.0
1749590646.2855403,169728,164.0
1749590660.3122704,178304,77.0
1749590672.065665,185472,87.0
1749590680.2742965,190464,97.0
1749590689.7866623,196224,100.0
1749590690.2062137,196480,103.0
1749590691.8714757,197504,79.0
1749590692.0754502,197632,137.0
1749590692.9033372,198144,103.0
1749590708.2832084,207488,88.0
1749590732.0567086,221952,135.0
1749590739.4178915,226432,91.0
1749590755.4162025,236160,77.0
1749590756.0574307,236544,115.0
1749590756.8953075,237056,131.0
1749590760.664187,239360,72.0
1749590777.1294444,249344,105.0
1749590784.5083294,253824,117.0
1749590784.7137072,253952,117.0
1749590789.5608413,256896,64.0
1749590793.135896,259072,158.0
1749590793.3500226,259200,93.0
1749590797.304791,261632,174.0
1749590807.9500601,268160,108.0
1749590820.1329854,275584,115.0
1749590828.3753364,280576,101.0
1749590849.3987188,293376,115.0
1749590850.0398407,293760,127.0
1749590882.0914266,313216,106.0
1749590886.087148,315648,154.0
1749590886.7196665,316032,115.0
1749590895.3468113,321280,74.0
1749590895.5527194,321408,112.0
1749590914.6899056,333056,110.0
1749590933.020739,344192,134.0
1749590938.1031234,347264,127.0
1749590944.2286367,350976,113.0
1749590952.0533533,355712,115.0
1749590956.06664,358144,119.0
1749590959.83868,360448,171.0
1749590961.3184032,361344,114.0
1749590964.9159946,363520,182.0
1749590973.1297605,368512,149.0
1749590977.7568178,371328,93.0
1749590985.2904394,375936,104.0
1749590985.503767,376064,133.0
1749590999.8798637,384896,80.0
1749591003.0141013,386816,147.0
1749591009.3247778,390656,146.0
1749591013.9574249,393472,95.0
1749591029.8566513,403200,124.0
1749591031.1129882,403968,113.0
1749591031.3261633,404096,105.0
1749591037.1587842,407680,105.0
1749591045.5349252,412800,109.0
1749591050.959629,416128,145.0
1749591052.6257596,417152,100.0
1749591059.3174694,421248,107.0
1749591064.3433752,424320,99.0
1749591077.1245542,432128,144.0
1749591077.3293047,432256,179.0
1749591078.1596289,432768,134.0
1749591080.4696999,434176,229.0
1749591080.6753037,434304,103.0
1749591084.8602982,436864,184.0
1749591088.8444142,439296,101.0
1749591101.0110881,446720,150.0
1749591107.466972,450688,134.0
1749591122.7195132,460032,151.0
1749591124.5859826,461184,172.0
1749591141.902898,471808,118.0
1749591143.5693018,472832,173.0
1749591145.4509544,473984,136.0
1749591152.3438513,478208,134.0
1749591157.7691169,481536,177.0
1749591171.1484587,489728,133.0
1749591175.5220642,492416,135.0
1749591176.7712908,493184,130.0
1749591178.2338545,494080,174.0
1749591185.9266644,498816,167.0
1749591190.308628,501504,129.0
1749591194.4776218,504064,101.0
1749591196.9734628,505600,186.0
1749591197.5983796,505984,157.0
1749591210.2151241,513664,153.0
1749591213.6166716,515712,155.0
1749591216.3791962,517376,103.0
1749591221.647083,520576,179.0
1749591223.7754219,521856,145.0
1749591226.7240796,523648,143.0
1749591234.4803402,528384,136.0
1749591238.9144435,531072,121.0
1749591251.9988234,539008,122.0
1749591252.6234012,539392,154.0
1749591277.4618185,554496,171.0
1749591280.385553,556288,180.0
1749591291.3626347,562944,165.0
1749591305.898676,571776,153.0
1749591322.8545327,582144,244.0
1749591326.4299583,584320,166.0
1749591333.344803,588544,268.0
1749591344.2588391,595200,168.0
1749591352.6341689,600320,197.0
1749591354.7129843,601600,126.0
1749591361.0121603,605440,142.0
1749591362.6963124,606464,129.0
1749591363.1186101,606720,152.0
1749591395.1877277,626304,100.0
1749591399.813731,629120,163.0
1749591405.0666692,632320,167.0
1749591442.4671636,655104,182.0
1749591453.7591617,662016,254.0
1749591466.320469,669696,172.0
1749591468.2026129,670848,169.0
1749591482.3793862,679552,232.0
1749591486.7678015,682240,212.0
1749591533.1967926,710656,249.0
1749591533.402434,710784,195.0
1749591551.6283257,721920,212.0
1749591559.594836,726784,210.0
1749591561.4667466,727936,258.0
1749591567.3239381,731520,204.0
1749591567.956587,731904,331.0
1749591570.8780863,733696,244.0
1749591583.4776685,741376,216.0
1749591585.9866683,742912,204.0
1749591602.9287007,753280,262.0
1749591604.8146527,754432,272.0
1749591608.796029,756864,233.0
1749591617.8129299,762368,165.0
1749591631.407596,770688,202.0
1749591634.5506878,772608,246.0
1749591643.558832,778112,229.0
1749591658.3783178,787200,175.0
1749591682.1022067,801664,184.0
1749591685.0491586,803456,184.0
1749591686.3170705,804224,272.0
1749591689.680922,806272,187.0
1749591743.754156,839296,256.0
1749591750.03694,843136,396.0
1749591765.4911253,852608,336.0
1749591776.144882,859136,348.0
1749591778.660869,860672,253.0
1749591781.1733596,862208,298.0
1749591812.189115,881152,215.0
1749591813.2393682,881792,279.0
1749591826.436537,889856,365.0
1749591836.4930532,896000,194.0
1749591867.497226,914944,199.0
1749591874.423665,919168,299.0
1749591875.6837687,919936,285.0
1749591884.0505729,925056,131.0
1749591884.469662,925312,304.0
1749591889.5087125,928384,445.0
1749591890.5437183,929024,202.0
1749591900.810709,935296,277.0
1749591901.0245016,935424,259.0
1749591905.4321558,938112,338.0
1749591906.4889438,938752,147.0
1749591922.0020525,948224,177.0
1749591924.7098172,949888,296.0
1749591926.7939906,951168,265.0
1749591927.2199385,951424,186.0
1749591938.9356518,958592,385.0
1749591975.6021402,980992,245.0
1749591985.0642993,986752,163.0
1749592000.2237356,995968,265.0
1749592001.0593903,996480,148.0
