Wall time,Step,Value
1749639690.1537328,93312,51.0
1749639883.7551377,140672,79.0
1749639915.194715,148352,133.0
1749640038.008805,178432,51.0
1749640044.2698033,179968,64.0
1749640130.6928215,201216,56.0
1749640616.8411345,321152,88.0
1749640736.2027633,350720,76.0
1749640909.989746,393600,78.0
1749641027.8656125,422656,97.0
1749641224.1682527,471168,89.0
1749641463.0997572,530048,83.0
1749641538.1005402,548608,78.0
1749641796.0469072,612352,92.0
1749641882.6777406,633728,93.0
1749641952.2848763,650880,99.0
1749642019.3417027,667392,81.0
1749642070.7093067,680064,102.0
1749642083.556923,683264,96.0
1749642343.7094965,747392,97.0
1749642469.2327745,778368,87.0
1749642657.2190526,824832,99.0
1749642776.5981498,854272,131.0
1749642868.9451218,877056,138.0
1749643032.5418227,917504,131.0
1749643089.3026528,931456,152.0
1749643368.6821296,1000448,120.0
1749643603.589413,1058432,130.0
1749643835.261829,1115648,135.0
1749643846.6121254,1118464,125.0
1749643861.0411057,1122048,87.0
1749644330.8707542,1238016,141.0
1749644413.6732063,1258496,126.0
1749644421.3940291,1260416,163.0
1749644486.7993348,1276544,248.0
1749644533.4732847,1288064,94.0
1749644554.1275728,1293184,132.0
1749644682.917358,1325056,152.0
1749644732.5642855,1337344,131.0
1749644871.5728095,1371648,114.0
1749644909.0002441,1380864,124.0
1749644960.8154404,1393664,136.0
1749645088.7862072,1425280,123.0
1749645126.1598742,1434496,130.0
1749645204.9927332,1453952,134.0
1749645289.832149,1474944,122.0
1749645307.5296512,1479296,157.0
1749645351.698935,1490176,173.0
1749645449.1418695,1514240,146.0
1749645560.4367697,1541760,141.0
1749645560.9623275,1541888,134.0
1749645636.7176812,1560576,136.0
1749645684.230719,1572352,155.0
1749645776.0903206,1595008,147.0
1749645789.579442,1598336,146.0
1749645810.8170612,1603584,140.0
1749645854.9034934,1614464,207.0
1749645901.483236,1625984,139.0
1749645932.1624556,1633536,134.0
1749646054.2571642,1663744,187.0
1749646083.2679298,1670912,145.0
1749646195.4431708,1698688,155.0
1749646278.9794652,1719296,227.0
1749646284.704635,1720704,231.0
1749646308.1802635,1726464,102.0
1749646419.809974,1753984,192.0
1749646452.464853,1762048,205.0
1749646474.2071183,1767424,211.0
1749646647.3979497,1810176,130.0
1749646784.4463432,1844096,240.0
1749646924.220086,1878656,141.0
1749646974.8212411,1891200,248.0
1749647407.935912,1998208,263.0
1749647509.4863427,2023296,258.0
1749647524.0436494,2026880,256.0
1749647682.7588198,2066048,282.0
1749647762.0960655,2085632,270.0
1749647914.1591053,2123264,232.0
1749648089.326927,2166528,296.0
1749648247.0249324,2205440,322.0
1749648469.0344756,2260224,287.0
1749648495.5111308,2266752,309.0
1749648549.4257777,2280064,335.0
1749648595.1716821,2291328,276.0
1749648891.9216557,2364672,379.0
1749649137.4701798,2425344,182.0
1749649184.0376015,2436864,367.0
1749649203.2317898,2441600,346.0
1749649205.2802796,2442112,301.0
1749649393.286311,2488576,302.0
1749649520.135398,2519936,346.0
1749649723.3692048,2570112,362.0
1749649769.0429356,2581376,420.0
1749650001.5728297,2638848,395.0
1749650056.9849834,2652544,353.0
1749650060.6140494,2653440,405.0
1749650115.5407064,2667008,434.0
1749650213.8486712,2691328,370.0
1749650258.707555,2702464,363.0
1749650305.268015,2713984,461.0
1749650678.264983,2806016,414.0
1749650692.2829497,2809472,438.0
1749650766.373814,2827776,474.0
1749650787.530702,2833024,383.0
1749650864.2187395,2851968,428.0
1749651249.498631,2947200,594.0
1749651369.7340734,2976896,569.0
1749651384.7966633,2980608,528.0
1749651442.289301,2994816,621.0
1749651575.3635345,3027712,591.0
1749651776.380269,3077376,775.0
1749652024.1257057,3138688,598.0
1749652030.3008304,3140224,638.0
1749652672.017574,3298560,741.0
1749652690.1261458,3303040,543.0
1749652818.339418,3334656,793.0
1749652834.9536192,3338752,501.0
1749652961.3120277,3369984,867.0
1749652985.120636,3375872,844.0
1749653063.883372,3395328,756.0
1749653072.1263137,3397376,724.0
1749653155.543714,3417984,757.0
1749653342.49057,3464064,778.0
1749653585.3329508,3524096,597.0
1749653662.6217518,3543168,874.0
1749653711.7343757,3555328,732.0
1749653798.5189223,3576832,945.0
1749654361.0337129,3715712,945.0
1749654691.7511132,3797248,857.0
1749655054.781812,3886976,716.0
1749713481.4561641,18328960,125.0
1749713489.2154944,18330880,106.0
1749713554.8758135,18347136,334.0
1749713555.3987613,18347264,111.0
1749713559.019014,18348160,106.0
1749713562.1201217,18348928,146.0
1749713565.7422953,18349824,70.0
1749713567.793598,18350336,207.0
1749713580.2356107,18353408,522.0
1749713600.3918517,18358400,73.0
1749713614.442431,18361856,95.0
1749713621.7544754,18363648,142.0
1749713623.811804,18364160,65.0
1749713631.5669107,18366080,83.0
1749713632.0917928,18366208,189.0
1749713640.3090806,18368256,63.0
1749713643.9543056,18369152,80.0
1749713651.7107928,18371072,341.0
1749713675.5217462,18376960,174.0
1749713682.8570137,18378752,116.0
1749713689.608377,18380416,374.0
1749713698.8808084,18382720,159.0
1749713699.9141598,18382976,120.0
1749713701.9934087,18383488,64.0
1749713703.0501204,18383744,47.0
1749713708.7351444,18385152,93.0
1749713711.3092015,18385792,79.0
1749713722.1775396,18388480,83.0
1749713743.4646745,18393728,221.0
1749713750.2130513,18395392,197.0
1749713752.2735748,18395904,103.0
1749713765.2468996,18399104,208.0
1749713824.0269275,18413568,332.0
1749713835.9507608,18416512,284.0
1749713844.725651,18418688,303.0
1749713849.4040432,18419840,69.0
1749713849.9279373,18419968,228.0
1749713853.019073,18420736,60.0
1749713855.6213834,18421376,134.0
1749713876.3440664,18426496,52.0
1749713877.376201,18426752,213.0
1749713878.9507716,18427136,66.0
1749713885.6733985,18428800,63.0
1749713886.687632,18429056,791.0
1749713896.402134,18431488,295.0
1749713903.6307704,18433280,106.0
1749713907.2601573,18434176,269.0
1749713909.328521,18434688,167.0
1749713945.558109,18443648,549.0
1749713959.0953333,18446976,84.0
1749713959.618734,18447104,175.0
1749713967.9128592,18449152,432.0
1749713981.3526938,18452480,225.0
1749713990.7224667,18454784,120.0
1749713999.5392795,18456960,900.0
1749714004.178924,18458112,79.0
1749714031.6667974,18464896,112.0
1749714041.4683993,18467328,210.0
1749714044.5823963,18468096,87.0
1749714065.7458124,18473344,75.0
1749714090.4804997,18479488,920.0
1749714101.9480627,18482304,66.0
1749714121.0523071,18487040,136.0
1749714124.1628187,18487808,340.0
1749714130.924278,18489472,118.0
1749714198.4411988,18506112,86.0
1749714199.4743004,18506368,238.0
1749714204.1446385,18507520,413.0
1749714221.81763,18511872,857.0
1749714225.450159,18512768,169.0
1749714238.877719,18516096,77.0
1749714242.5145571,18516992,158.0
1749714244.0527494,18517376,674.0
1749714247.2012112,18518144,115.0
1749714248.7441943,18518528,1000.0
1749714272.9419198,18524544,176.0
1749714285.780604,18527744,58.0
1749714298.6950097,18530944,133.0
1749714308.5467126,18533376,72.0
1749714327.30551,18537984,79.0
1749714341.3060148,18541440,425.0
1749714387.4441276,18552832,450.0
1749714391.0951946,18553728,913.0
1749714410.8073215,18558592,79.0
1749714421.7129848,18561280,474.0
1749714422.7574115,18561536,108.0
1749714426.3645,18562432,140.0
1749714427.3850355,18562688,1000.0
1749714444.5289543,18566912,380.0
1749714484.0079706,18576640,76.0
1749714487.1306894,18577408,245.0
1749714551.8341727,18593408,615.0
1749714570.5041244,18598016,1000.0
1749714610.8948417,18608000,529.0
1749714639.2749078,18615040,1000.0
1749714645.9648151,18616704,891.0
1749714654.834293,18618880,445.0
1749714660.0176814,18620160,815.0
1749714678.2103286,18624640,1000.0
1749714739.7475128,18639872,1000.0
1749714778.738352,18649472,215.0
1749714785.474459,18651136,88.0
1749714853.2761137,18667904,194.0
1749714856.9191597,18668800,73.0
1749714861.104052,18669824,612.0
1749714924.3664894,18685440,663.0
1749714942.052341,18689792,237.0
1749715042.083459,18714496,844.0
1749715067.9779692,18720896,1000.0
1749715069.5337667,18721280,1000.0
1749715114.010689,18732288,511.0
1749715136.2248793,18737792,232.0
1749715194.2811792,18752128,643.0
1749715205.6575851,18754944,1000.0
1749715218.0856082,18758016,326.0
1749715251.120336,18766208,100.0
1749715267.1507807,18770176,1000.0
1749715269.7306075,18770816,345.0
1749715336.9494138,18787456,1000.0
1749715337.9631202,18787712,115.0
1749715414.4660501,18806656,180.0
1749715425.816166,18809472,152.0
1749715456.2393193,18817024,1000.0
1749715459.3780897,18817792,1000.0
1749715472.7784705,18821120,91.0
1749715482.0938492,18823424,1000.0
1749715485.1826944,18824192,1000.0
1749715499.6113868,18827776,898.0
1749715503.7599263,18828800,1000.0
1749715506.8197381,18829568,1000.0
1749715507.8508847,18829824,94.0
1749715517.2014372,18832128,1000.0
1749715554.0382006,18841216,1000.0
1749715578.3620534,18847232,1000.0
1749715579.3835154,18847488,80.0
1749715614.0630684,18856064,562.0
1749715635.9583461,18861440,1000.0
1749715637.0070233,18861696,1000.0
1749715676.278054,18871424,187.0
1749715707.3677018,18879104,239.0
1749715721.9500208,18882688,166.0
1749715756.6106267,18891264,687.0
1749715768.496547,18894208,1000.0
1749715844.008794,18912896,1000.0
1749715865.1547866,18918144,1000.0
1749715881.1764882,18922112,1000.0
1749715884.2787156,18922880,1000.0
1749715887.8975353,18923776,202.0
1749715890.9982634,18924544,1000.0
1749715894.6186852,18925440,1000.0
1749715906.9915113,18928512,815.0
1749715923.9592586,18932736,1000.0
1749715928.061962,18933760,1000.0
1749715943.6558099,18937600,398.0
1749716102.3344612,18976768,1000.0
1749716164.0739574,18992000,1000.0
1749716172.3657959,18994048,865.0
1749716215.9071257,19004800,1000.0
1749716225.226646,19007104,1000.0
1749716297.2174711,19024896,1000.0
1749716301.8711872,19026048,1000.0
1749716364.0884569,19041408,1000.0
1749716382.6638796,19046016,1000.0
1749716402.3168967,19050880,1000.0
1749716442.0317502,19060736,1000.0
1749716450.8157675,19062912,1000.0
1749716486.0056202,19071616,1000.0
1749716492.2432356,19073152,1000.0
1749716503.678742,19075968,1000.0
1749716517.6407754,19079424,1000.0
1749716531.0930796,19082752,1000.0
1749716543.565416,19085824,1000.0
1749716574.468959,19093504,278.0
1749716661.3705928,19115008,1000.0
1749716708.2471294,19126528,1000.0
1749716757.46426,19138688,1000.0
1749716776.6475017,19143424,92.0
1749716792.161172,19147264,1000.0
1749716906.7598293,19175552,62.0
1749716918.1115825,19178368,286.0
1749716935.117686,19182592,1000.0
1749716942.3098001,19184384,1000.0
1749716957.3085158,19188096,477.0
1749716973.4088109,19192064,1000.0
1749716974.439535,19192320,1000.0
1749716999.7895682,19198592,399.0
1749717001.3494701,19198976,1000.0
1749717021.5660584,19203968,1000.0
1749717032.5333226,19206656,1000.0
1749717039.793586,19208448,1000.0
1749717184.9324894,19244416,1000.0
1749717290.295057,19270400,1000.0
1749717306.3444047,19274368,1000.0
1749717336.4121642,19281792,1000.0
1749717385.3975039,19293952,1000.0
1749717427.6495597,19304448,1000.0
1749717446.3036666,19309056,1000.0
1749717490.908988,19320064,1000.0
1749717543.5915778,19333120,1000.0
1749717668.412103,19363968,1000.0
1749717744.8631968,19382912,1000.0
1749717752.0747726,19384704,1000.0
1749717760.8474524,19386880,1000.0
1749717777.4762912,19390976,1000.0
1749717778.0000331,19391104,1000.0
1749717800.2875018,19396608,163.0
1749717811.6655135,19399424,1000.0
1749717827.2684746,19403264,1000.0
1749717868.4469545,19413504,1000.0
1749718014.2424068,19449600,1000.0
1749718019.9392178,19451008,1000.0
1749718072.208675,19463936,182.0
1749718095.0432246,19469568,1000.0
1749718114.634701,19474432,797.0
1749718150.2946055,19483264,1000.0
1749718158.0047338,19485184,1000.0
1749718208.6072457,19497728,1000.0
1749718216.883655,19499776,1000.0
1749718238.0902808,19505024,1000.0
1749718264.0534067,19511424,118.0
1749718285.802211,19516800,1000.0
1749718298.7210734,19520000,1000.0
1749718370.722154,19537792,1000.0
1749718432.9721508,19553152,1000.0
1749718461.4370706,19560192,1000.0
1749718506.9445355,19571456,642.0
1749718536.9427476,19578880,491.0
1749718559.8292048,19584512,1000.0
1749718641.7286801,19604736,1000.0
1749718703.2903945,19619968,1000.0
1749718720.9745374,19624320,1000.0
1749718781.766995,19639296,1000.0
1749718802.4299355,19644416,933.0
1749718839.6840715,19653632,587.0
1749718868.2060504,19660672,1000.0
1749718928.1473591,19675520,1000.0
1749719158.0766494,19732224,1000.0
1749719188.9632375,19739904,1000.0
1749719194.1352315,19741184,1000.0
1749719221.5996864,19747968,1000.0
1749719238.788469,19752192,195.0
1749719290.0405443,19764864,1000.0
1749719314.4583623,19770880,1000.0
1749719320.1346207,19772288,80.0
1749719514.3603106,19820288,1000.0
1749719540.161286,19826688,1000.0
1749719558.7752204,19831296,1000.0
1749719722.136515,19871616,141.0
1749719739.811534,19875968,1000.0
1749719816.4029057,19894912,1000.0
1749719921.764919,19920896,123.0
1749719975.0470684,19934080,1000.0
1749720020.202956,19945216,1000.0
