Wall time,Step,Value
1749397339.6138039,8832,69.0
1749397349.22597,13056,102.0
1749397350.0335112,13312,104.0
1749397386.7412515,25088,49.0
1749397392.7194436,27008,42.0
1749397404.605072,30848,45.0
1749397422.5298028,36608,47.0
1749397428.9351869,38656,59.0
1749397430.1417336,39040,60.0
1749397438.138761,41600,58.0
1749397454.8855553,46976,69.0
1749397461.660767,49152,72.0
1749397462.8619206,49536,58.0
1749397467.2436361,50944,61.0
1749397487.2006874,57344,71.0
1749397499.2366745,61184,56.0
1749397502.432748,62208,63.0
1749397508.8992841,64256,58.0
1749397514.5382164,66048,60.0
1749397528.171302,70400,73.0
1749397554.156572,78720,89.0
1749397568.5509605,83328,74.0
1749397582.9242654,87936,91.0
1749397583.3291883,88064,101.0
1749397618.4494748,99328,87.0
1749397620.8470414,100096,97.0
1749397634.809828,104576,85.0
1749397642.723532,107136,86.0
1749397659.3919644,112512,109.0
1749397669.7837045,115840,89.0
1749397682.9569795,120064,134.0
1749397684.1689677,120448,72.0
1749397699.4051423,125312,118.0
1749397741.656831,138880,112.0
1749397749.2235627,141312,86.0
1749397753.5694242,142720,105.0
1749397761.497707,145280,81.0
1749397771.8013132,148608,125.0
1749397792.1327484,155136,90.0
1749397827.4627974,166528,92.0
1749397832.6544676,168192,97.0
1749397836.6653566,169472,88.0
1749397839.4604461,170368,105.0
1749397880.0848463,183424,102.0
1749397883.2807248,184448,85.0
1749397892.8912036,187520,105.0
1749397906.4305568,191872,100.0
1749397912.3473675,193792,107.0
1749397914.3604496,194432,104.0
1749397918.319199,195712,128.0
1749397924.737256,197760,97.0
1749397949.0441833,205568,123.0
1749397972.5439317,213120,118.0
1749398006.3555055,224000,71.0
1749398027.8300214,230912,79.0
1749398029.02878,231296,122.0
1749398045.7523272,236672,73.0
1749398063.6750548,242432,165.0
1749398069.2077515,244224,126.0
1749398070.4055467,244608,100.0
1749398098.3192704,253568,150.0
1749398102.32533,254848,119.0
1749398127.7734241,263040,103.0
1749398169.2130919,276352,102.0
1749398185.5931604,281600,122.0
1749398185.99783,281728,89.0
1749398186.4013596,281856,129.0
1749398199.1579597,285952,108.0
1749398201.5587049,286720,116.0
1749398214.762336,290944,89.0
1749398223.1454306,293632,153.0
1749398231.984143,296448,137.0
1749398241.2002387,299392,99.0
1749398304.2615452,319616,102.0
1749398311.470912,321920,92.0
1749398331.934569,328448,118.0
1749398352.002374,334848,105.0
1749398365.9638457,339328,106.0
1749398369.1137953,340352,120.0
1749398390.686909,347264,110.0
1749398414.626163,354944,157.0
1749398445.2229185,364800,113.0
1749398455.9609344,368256,127.0
1749398460.691966,369792,162.0
1749398464.2803934,370944,133.0
1749398477.8044074,375296,160.0
1749398478.612847,375552,192.0
1749398479.419419,375808,124.0
1749398487.3851361,378368,108.0
1749398515.3867936,387328,95.0
1749398546.5630817,397312,141.0
1749398548.945693,398080,132.0
1749398556.8467622,400640,140.0
1749398573.5922644,406016,127.0
1749398577.179888,407168,131.0
1749398579.9758308,408064,178.0
1749398590.3550773,411392,106.0
1749398597.5670419,413696,184.0
1749398601.1793346,414848,294.0
1749398602.7828429,415360,143.0
1749398630.6256561,424320,176.0
